,account_length,international_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn,total_charges,total_calls,total_minutes
0,107,0,26,161.6,123.0,27.47,195.5,103,16.62,254.4,103.0,11.45,13.7,3,3.7,1,0,59.239999999999995,332.0,625.2
1,137,0,0,243.4,114.0,41.38,121.2,110,10.3,162.6,104.0,7.32,12.2,5,3.29,0,0,62.290000000000006,333.0,539.4000000000001
2,84,0,0,299.4,71.0,50.9,118.2,88,10.05,196.9,89.0,8.86,6.6,7,1.78,2,0,71.59,255.0,621.1
3,75,0,0,166.7,113.0,28.34,148.3,122,12.61,186.9,121.0,8.41,10.1,3,2.73,3,0,52.09,359.0,512.0
4,121,0,24,218.2,88.0,37.09,318.651,108,27.0851,212.6,118.0,9.57,7.5,7,2.03,3,0,75.77510000000001,321.0,756.951
5,147,0,0,157.0,79.0,26.69,118.2,94,10.05,211.8,96.0,9.53,7.1,6,1.92,0,0,48.19,275.0,494.1
6,117,0,0,184.5,97.0,31.37,318.651,80,27.0851,215.8,90.0,9.71,8.7,4,2.35,1,0,70.5151,271.0,727.6510000000001
7,141,0,36,258.6,84.0,43.96,222.0,111,18.87,317.5550000000001,97.0,14.290200000000004,11.2,5,3.02,0,0,80.14020000000001,297.0,809.3550000000002
8,65,1,0,129.1,137.0,21.95,228.5,83,19.42,208.8,111.0,9.4,12.7,6,3.43,4,1,54.2,337.0,579.1
9,74,0,0,187.7,127.0,31.91,163.4,147,13.89,196.0,94.0,8.82,9.1,5,2.46,0,0,57.08,373.0,556.2
10,167,0,0,128.8,96.0,21.9,118.2,71,10.05,141.1,128.0,6.35,11.2,2,3.02,1,0,41.31999999999999,297.0,399.29999999999995
11,95,0,0,156.6,88.0,26.62,247.6,75,21.05,192.3,115.0,8.65,12.3,5,3.32,3,0,59.64,283.0,608.8
12,161,1,0,304.85500000000013,67.0,51.82590000000002,317.8,97,27.01,160.6,128.0,7.23,5.7,9,1.54,4,1,87.60590000000002,301.0,788.9550000000002
13,85,0,27,196.4,139.0,33.39,280.9,90,23.88,118.09,75.0,5.3145,13.8,4,3.73,1,0,66.3145,308.0,609.1899999999999
14,76,0,33,189.7,67.0,32.25,212.8,67,18.09,165.7,108.0,7.46,10.0,5,2.7,1,0,60.5,247.0,578.2
15,73,0,0,224.4,90.0,38.15,159.5,88,13.56,192.8,74.0,8.68,13.0,2,3.51,1,0,63.9,254.0,589.7
16,147,0,0,155.1,117.0,26.37,239.7,93,20.37,208.8,133.0,9.4,10.6,4,2.86,0,0,59.0,347.0,614.1999999999999
17,77,1,0,91.59,89.0,15.573500000000001,169.9,121,14.44,209.6,67.0,9.43,5.7,6,1.54,4,1,40.9835,283.0,476.79
18,130,0,0,183.0,112.0,31.11,118.2,99,10.05,181.8,78.0,8.18,9.5,9,2.57,0,0,51.91,298.0,492.5
19,111,0,0,110.4,103.0,18.77,137.3,102,11.67,189.6,105.0,8.53,7.7,6,2.08,2,0,41.05,316.0,445.0
20,132,0,0,91.59,86.0,15.573500000000001,245.2,72,20.84,237.0,115.0,10.67,10.3,2,2.78,0,0,49.8635,275.0,584.0899999999999
21,57,0,36,213.0,115.0,36.21,191.1,112,16.24,182.7,115.0,8.22,9.5,3,2.57,0,0,63.239999999999995,345.0,596.3
22,54,0,0,134.3,73.0,22.83,155.5,100,13.22,118.09,68.0,5.3145,14.7,4,3.97,3,0,45.3345,245.0,422.59
23,20,0,0,190.0,109.0,32.3,258.2,84,21.95,181.5,102.0,8.17,6.3,6,1.7,0,0,64.11999999999999,301.0,636.0
24,49,0,0,119.3,117.0,20.28,215.1,109,18.28,178.7,90.0,8.04,11.1,1,3.0,1,0,49.6,317.0,524.2
25,75,0,0,226.1,105.0,38.44,201.5,107,17.13,246.2,98.0,11.08,10.3,5,2.78,1,0,69.42999999999999,315.0,684.0999999999999
26,12,1,0,249.6,118.0,42.43,252.4,119,21.45,280.2,90.0,12.61,11.8,3,3.19,1,1,79.67999999999999,330.0,793.9999999999999
27,57,0,25,176.8,94.0,30.06,195.0,75,16.58,213.5,116.0,9.61,8.3,4,2.24,0,0,58.489999999999995,289.0,593.5999999999999
28,36,0,30,146.3,128.0,24.87,162.5,80,13.81,129.3,109.0,5.82,14.5,6,3.92,0,0,48.42,323.0,452.6
29,78,0,0,130.8,67.0,22.24,223.7,116,19.01,227.8,108.0,10.25,10.0,5,2.7,1,0,54.2,296.0,592.3
30,136,0,33,203.9,106.0,34.66,187.6,99,15.95,118.09,107.0,5.3145,10.5,6,2.84,3,0,58.7645,318.0,520.09
